p= -204 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -203 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -202 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -201 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -200 divFloor(p, sc)= -2 divCeil(p, sc)= -2
p= -199 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -198 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -197 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -196 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -195 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -194 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -193 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -192 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -191 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -190 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -189 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -188 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -187 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -186 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -185 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -184 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -183 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -182 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -181 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -180 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -179 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -178 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -177 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -176 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -175 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -174 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -173 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -172 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -171 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -170 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -169 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -168 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -167 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -166 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -165 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -164 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -163 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -162 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -161 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -160 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -159 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -158 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -157 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -156 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -155 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -154 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -153 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -152 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -151 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -150 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -149 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -148 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -147 divFloor(p, sc)= -2 divCeil(p, sc)= -1
